Time [s],Packet ID,MOSI,MISO
5.1835323437,47,0x02,0xAC
5.1835389687,47,0x01,0xAC
5.1835455937,47,0x00,0xAC
5.1835522188,47,0x00,0xAC
5.1835588438,47,0x00,0xAC
5.1835654688,47,0x00,0xAC
5.1835826562,48,0xC0,0xAC
5.1835892500,48,0x00,0x2C
5.1836005000,49,0x8C,0xAC
5.1836071250,49,0x00,0xAC
5.1836137500,49,0x08,0xAC
5.1836203750,49,0x00,0xAC
5.1836270000,49,0x17,0xAC
5.1836336250,49,0x01,0xAC
5.1836402500,49,0x00,0xAC
5.1836630313,50,0xC0,0xA2
5.1836696563,50,0x00,0x22
5.1836809375,51,0x0E,0xA2
5.1836875313,51,0x00,0xA2
5.1836941562,51,0x48,0xA2
5.1837007812,51,0x65,0xA2
5.1837074062,51,0x6C,0xA2
5.1837140313,51,0x6C,0xA2
5.1837206563,51,0x6F,0xA2
5.1837272813,51,0x20,0xA2
5.1837339062,51,0x77,0xA2
5.1837405312,51,0x6F,0xA2
5.1837471562,51,0x72,0xA2
5.1837537813,51,0x6C,0xA2
5.1837604063,51,0x64,0xA2
5.1837670313,51,0x20,0xA2
5.1837736562,51,0x6E,0xA2
5.1837802812,51,0x75,0xA2
5.1837869062,51,0x6D,0xA2
5.1837935313,51,0x62,0xA2
5.1838001563,51,0x65,0xA2
5.1838067813,51,0x72,0xA2
5.1838134062,51,0x20,0xA2
5.1838200312,51,0x30,0xA2
5.1838266562,51,0x2E,0xA2
5.1838332813,51,0x30,0xA2
5.1838399063,51,0x34,0xA2
5.1838523750,52,0x83,0xA2
5.1838589688,52,0x00,0xA2
5.1838655938,52,0x00,0xA2
5.1838722188,52,0x00,0xA2
5.2579719375,53,0x12,0xAC
5.2579785313,53,0x00,0xAC
5.2579859687,53,0x00,0x00
5.2579925938,53,0x00,0x01
5.2580048750,54,0x02,0xAC
5.2580115000,54,0xFF,0xAC
5.2580181250,54,0xFF,0xAC
6.2585300000,55,0xC0,0xAC
6.2585365937,55,0x00,0x2C
6.2585486875,56,0x08,0xAC
6.2585552812,56,0x02,0xAC
6.2585619062,56,0x01,0xAC
6.2585685312,56,0x02,0xAC
6.2585751563,56,0x01,0xAC
6.2585817813,56,0x00,0xAC
6.2585884063,56,0x00,0xAC
6.2585950312,56,0x00,0xAC
6.2586016562,56,0x00,0xAC
6.2586182500,57,0xC0,0xAC
6.2586248437,57,0x00,0x2C
6.2586360937,58,0x8C,0xAC
6.2586426875,58,0x00,0xAC
6.2586493125,58,0x08,0xAC
6.2586559375,58,0x00,0xAC
6.2586625625,58,0x17,0xAC
6.2586691875,58,0x01,0xAC
6.2586758125,58,0x00,0xAC
6.2586978750,59,0xC0,0xA2
6.2587045000,59,0x00,0x22
6.2587157813,60,0x0E,0xA2
6.2587223750,60,0x00,0xA2
6.2587290000,60,0x48,0xA2
6.2587356250,60,0x65,0xA2
6.2587422500,60,0x6C,0xA2
6.2587488750,60,0x6C,0xA2
6.2587555000,60,0x6F,0xA2
6.2587621250,60,0x20,0xA2
6.2587687500,60,0x77,0xA2
6.2587753750,60,0x6F,0xA2
6.2587820313,60,0x72,0xA2
6.2587886563,60,0x6C,0xA2
6.2587952813,60,0x64,0xA2
6.2588019063,60,0x20,0xA2
6.2588085312,60,0x6E,0xA2
6.2588151562,60,0x75,0xA2
6.2588217813,60,0x6D,0xA2
6.2588284063,60,0x62,0xA2
6.2588350313,60,0x65,0xA2
6.2588416563,60,0x72,0xA2
6.2588482812,60,0x20,0xA2
6.2588549062,60,0x30,0xA2
6.2588615313,60,0x2E,0xA2
6.2588681563,60,0x30,0xA2
6.2588747813,60,0x35,0xA2
6.2588872188,61,0x83,0xA2
6.2588938438,61,0x00,0xA2
6.2589004688,61,0x00,0xA2
6.2589070938,61,0x00,0xA2
6.3329980937,62,0x12,0xAC
6.3330046875,62,0x00,0xAC
6.3330121250,62,0x00,0x00
