Time [s],Packet ID,MOSI,MISO
6.2311185312,20,0x01,0xBC
6.2311209688,20,0x00,0xBC
6.2311415938,21,0x0E,0xB2
6.2311440313,21,0x00,0xB2
6.2311464687,21,0x00,0xB2
6.2311489062,21,0x00,0xB2
6.2311513437,21,0xBC,0xB2
6.2311537812,21,0x41,0xB2
6.2311562187,21,0x85,0xB2
6.2311586562,21,0xEB,0xB2
6.2311610937,21,0xB7,0xB2
6.2311635313,21,0x41,0xB2
6.2311659688,21,0xD7,0xB2
6.2311684063,21,0x93,0xB2
6.2311708438,21,0x74,0xB2
6.2311732813,21,0x44,0xB2
6.2311757188,21,0x28,0xB2
6.2311781563,21,0x85,0xB2
6.2311805938,21,0x28,0xB2
6.2311830312,21,0x42,0xB2
6.2311854687,21,0x00,0xB2
6.2311879062,21,0x00,0xB2
6.2311903437,21,0x00,0xB2
6.2311927812,21,0x00,0xB2
6.2312056250,22,0x83,0xB2
6.2312080625,22,0x00,0xB2
6.2312105000,22,0x00,0xB2
6.2312129375,22,0x00,0xB2
6.7314476250,23,0x17,0xBC
6.7314500312,23,0x00,0xBC
6.7314525000,23,0x00,0x00
6.7314549375,23,0x00,0x00
6.7315554063,24,0xC0,0xBC
6.7315578438,24,0x00,0x3C
